North Braddock Borough,4,40
O Hara Township,10,1197
Regent Square,11,35
West Deer Township,5,97
Strip District,9,1159
Mount Washington,17,1352
New Homestead,18,33
Greenfield,13,505
Dravosburg Borough,20,201
Coraopolis Borough,1,545
South Park Township,13,1059
Terrace Village,13,750
Larimer,16,262
Allentown,5,43
Brookline,2,1455
West Oakland,18,891
Penn Hills Township,12,3514
Garfield,23,1059
Cheswick Borough,11,37
Bellevue Borough,3,219
Monroeville,5,8
Stowe Township,9,270
East Liberty,9,750
Castle Shannon Borough,1,446
North Fayette Township,18,1466
South Park Township,16,1258
Turtle Creek Borough,22,858
Dormont Borough,3,171
South Versailles Township,6,1
Morningside,5,20
Turtle Creek Borough,3,85
Bloomfield,7,591
Lower Lawrenceville,14,464
Bluff,8,1394
Stanton Heights,5,30
Versailles Borough,2,172
West Mifflin Borough,4,590
Northview Heights,17,68
Indiana Township,14,451
Glen Osborne Borough,2,5
Lower Lawrenceville,3,141
Windgap,4,7
Verona Borough,6,68
Esplen,20,80
Ridgemont,16,139
Aspinwall Borough,21,629
Allegheny West,19,138
Central Lawrenceville,9,414
Ohio Township,21,1980
Mount Washington,23,2561
Scott Township,15,1439
Friendship,21,212
Crawford-Roberts,21,541
Bon Air,17,124
Mt. Oliver,8,62
Spring Hill-City View,8,127
Dravosburg Borough,13,177
Homewood North,16,236
Regent Square,12,30
Terrace Village,6,87
Thornburg Borough,13,24
Westwood,8,106
Upper Hill,3,171
Penn Hills Township,23,5848
Glassport Borough,0,371
Sewickley Heights Borough,15,51
Bellevue Borough,10,533
Monroeville,2,62
Churchill Borough,13,461
South Shore,23,520
Thornburg Borough,23,19
Elliott,4,9
Summer Hill,2,15
Knoxville,21,936
Windgap,15,176
McKees Rocks Borough,11,259
Swisshelm Park,7,22
Bloomfield,0,1636
Lower Lawrenceville,23,528
Bluff,3,495
Mount Lebanon,4,273
West Mifflin Borough,15,3684
Northview Heights,22,128
Morningside,8,62
Indiana Township,21,1345
Aleppo Township,2,4
East Allegheny,2,75
Ingram Borough,18,335
Millvale Borough,20,669
Lincoln Borough,12,281
Northview Heights,9,61
Baldwin Township,0,630
Central Lawrenceville,14,895
Forward Township,7,60
Ingram Borough,21,625
Fairywood,3,70
Ingram Borough,2,189
West Deer Township,23,1516
Penn Hills Township,3,955
New Homestead,4,2
Frazer Township,23,82
Dravosburg Borough,6,35
Fineview,14,101
Emsworth Borough,15,347
Oakdale Borough,15,102
North Shore,15,3384
Bon Air,10,69
Troy Hill,21,571
Pine Township,15,708
Oakwood,16,92
Glassport Borough,7,62
Homestead Borough,17,879
North Versailles Township,0,1291
Churchill Borough,2,73
Marshall Township,7,48
South Shore,12,699
Wilmerding Borough,16,115
Glassport Borough,2,125
Elliott,15,241
Summer Hill,11,81
Dormont Borough,21,2540
West Elizabeth Borough,17,11
Hays,0,30
Blawnox Borough,19,172
Middle Hill,16,268
Shadyside,18,2361
Beltzhoover,14,327
Carrick,13,1017
Versailles Borough,20,563
Hays,11,57
Moon Township,12,777
Ben Avon Heights Borough,8,3
Fineview,20,230
Beechview,7,814
East Allegheny,5,17
Carnegie Borough,6,141
Reserve Township,13,186
Bradford Woods Borough,13,14
Point Breeze North,19,282
Moon Township,6,231
Lincoln Borough,23,359
Chalfant Borough,6,12
Friendship,22,144
Forward Township,19,200
Central Lawrenceville,7,355
Ohio Township,3,252
Forward Township,12,41
Central Oakland,19,6028
Fairywood,4,23
Crawford-Roberts,3,109
Friendship,0,82
New Homestead,13,40
Friendship,8,101
Hays,15,36
Homewood North,2,156
Sharpsburg Borough,4,30
Rosslyn Farms Borough,17,36
Emsworth Borough,4,28
Morningside,2,163
Perry South,21,618
McKeesport,20,3407
Bedford Dwellings,14,112
Oakmont Borough,17,717
Perry North,12,721
Oakdale Borough,3,46
Oakwood,9,21
Duquesne Heights,21,573
Garfield,0,833
Homestead Borough,14,828
West Deer Township,3,117
North Versailles Township,11,900
East Liberty,4,106
South Shore,5,23
Wilmerding Borough,11,76
Sewickley Borough,9,238
Elliott,22,531
Knoxville,3,306
Verona Borough,5,28
Glenfield Borough,14,53
Heidelberg Borough,20,171
Pleasant Hills Borough,19,1351
Carrick,4,156
West View Borough,6,244
Rankin Borough,9,88
Northview Heights,4,21
Reserve Township,10,128
Aleppo Township,16,40
Beechview,12,1305
East Allegheny,12,387
