lat,lon,num_tweets,num_users
40.55,-80.2,105,57
40.43,-80.07,3420,154
40.42,-79.93,4640,628
40.35,-79.88,1899,117
40.33,-80.02,3202,431
40.59,-79.81,11,9
40.54,-80.13,68,12
40.44,-79.81,1282,225
40.35,-80.09,800,63
40.45,-79.95,33583,3181
40.31,-79.95,1924,121
40.51,-80.13,1031,226
40.33,-80.19,242,50
40.42,-79.9,3787,181
40.28,-80.12,1164,196
40.35,-79.81,827,73
40.26,-80.19,3412,274
40.54,-79.97,1129,157
40.57,-80.2,6,3
40.46,-80.02,4550,279
40.34,-79.92,189,45
40.29,-79.99,3774,105
40.56,-80.14,26,9
40.28,-79.94,57,34
40.55,-80.16,44,12
40.32,-79.96,1156,127
40.54,-79.95,4620,94
40.5,-80.05,4691,242
40.29,-80.18,129,20
40.54,-79.82,600,205
40.39,-79.96,3936,95
40.35,-80.16,125,50
40.24,-80.09,14,2
40.56,-79.94,748,36
40.48,-80.19,385,74
40.62,-80.11,9,3
40.36,-79.86,8882,139
40.49,-79.99,507,51
40.54,-79.8,358,78
40.53,-80.12,21,10
40.5,-80.19,51,22
40.35,-80.07,1291,69
40.62,-80.05,409,215
40.27,-79.88,1076,132
40.46,-79.98,6642,953
40.45,-79.87,5985,160
40.24,-79.88,5,5
40.54,-79.96,3139,246
40.61,-79.9,35,17
40.64,-79.98,84,5
40.47,-80.19,57,29
40.61,-79.84,80,22
40.55,-80.04,4785,219
40.38,-80.0,4452,556
40.5,-79.99,98,45
40.45,-80.05,4415,202
40.59,-80.03,890,156
40.52,-80.15,1556,454
40.48,-79.82,1142,173
40.51,-80.17,257,44
40.38,-79.82,1295,216
40.3,-79.97,19,15
40.26,-80.05,444,38
40.25,-79.9,1,1
40.28,-80.03,167,101
40.36,-80.15,268,17
40.39,-79.89,1203,130
40.32,-79.85,4541,45
40.61,-80.08,824,49
40.5,-80.17,357,47
40.6,-79.96,108,34
40.31,-79.9,2485,50
40.58,-80.16,1,1
40.48,-80.02,292,89
40.47,-79.9,1176,81
40.37,-80.03,2173,357
40.28,-80.07,239,47
40.56,-79.92,31,16
40.54,-80.06,320,46
40.52,-80.04,3600,217
