GEO.id,GEO.id2,GEO.display-label,D001
Id,Id2,Geography,Total
1000000US420030103004005,420030103004005,"Block 4005, Block Group 4, Census Tract 103, Allegheny County, Pennsylvania",5
1000000US420030103004006,420030103004006,"Block 4006, Block Group 4, Census Tract 103, Allegheny County, Pennsylvania",0
1000000US420030103004007,420030103004007,"Block 4007, Block Group 4, Census Tract 103, Allegheny County, Pennsylvania",22
1000000US420030103004008,420030103004008,"Block 4008, Block Group 4, Census Tract 103, Allegheny County, Pennsylvania",27
1000000US420030103004009,420030103004009,"Block 4009, Block Group 4, Census Tract 103, Allegheny County, Pennsylvania",16
1000000US420030103004010,420030103004010,"Block 4010, Block Group 4, Census Tract 103, Allegheny County, Pennsylvania",3
1000000US420030103004011,420030103004011,"Block 4011, Block Group 4, Census Tract 103, Allegheny County, Pennsylvania",39
1000000US420030103004012,420030103004012,"Block 4012, Block Group 4, Census Tract 103, Allegheny County, Pennsylvania",5
1000000US420030103004013,420030103004013,"Block 4013, Block Group 4, Census Tract 103, Allegheny County, Pennsylvania",9
1000000US420030103004014,420030103004014,"Block 4014, Block Group 4, Census Tract 103, Allegheny County, Pennsylvania",7
1000000US420030103004015,420030103004015,"Block 4015, Block Group 4, Census Tract 103, Allegheny County, Pennsylvania",25
1000000US420030103004016,420030103004016,"Block 4016, Block Group 4, Census Tract 103, Allegheny County, Pennsylvania",1
1000000US420030103004017,420030103004017,"Block 4017, Block Group 4, Census Tract 103, Allegheny County, Pennsylvania",0
1000000US420030103004018,420030103004018,"Block 4018, Block Group 4, Census Tract 103, Allegheny County, Pennsylvania",0
1000000US420030103004019,420030103004019,"Block 4019, Block Group 4, Census Tract 103, Allegheny County, Pennsylvania",0
1000000US420030201001000,420030201001000,"Block 1000, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201001001,420030201001001,"Block 1001, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201001002,420030201001002,"Block 1002, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201001003,420030201001003,"Block 1003, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201001004,420030201001004,"Block 1004, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania",0
